cycle,offset_measured
0,-4
1,-8
2,9
3,5
4,1
5,-3
6,7
7,2
8,2
9,2
10,2
11,-2
12,2
13,3
14,-14
15,-10
16,2
17,3
18,13
19,-16
20,9
21,-9
22,7
23,-4
24,8
25,-13
26,12
27,-7
28,2
29,-4
30,-11
31,-10
32,-5
33,15
34,7
35,2
36,2
37,-4
38,7
39,2
40,-2
41,2
42,-4
43,7
44,6
45,-12
46,-5
47,-2
48,-2
49,-2
50,2
51,-2
52,1
53,2
54,13
55,-12
56,2
57,-2
58,1
59,-2
60,-10
61,14
62,-11
63,2
64,3
65,-7
66,2
67,10
68,10
69,-8
70,26
71,2
72,2
73,-3
74,2
75,-4
76,-12
77,-2
78,-2
79,2
80,2
81,5
82,-2
83,3
84,-7
85,2
86,7
87,-2
88,-4
89,2
90,-3
91,16
92,-18
93,8
94,-8
95,-2
96,-8
97,5
98,-2
99,2
100,-3
101,-8
102,21
103,2
104,2
105,-7
106,15
107,-4
108,3
109,2
110,2
111,2
112,-11
113,-9
114,-9
115,16
116,-9
117,3
118,1
119,2
120,3
121,-2
122,3
123,-15
124,-4
125,1
126,2
127,-4
128,3
129,-7
130,10
131,-5
132,2
133,-8
134,12
135,2
136,1
137,2
138,6
139,-11
140,-7
141,-4
142,2
143,-7
144,3
145,-2
146,9
147,2
148,6
149,-22
150,12
151,-2
152,-2
153,2
154,2
155,-11
156,6
157,2
158,6
159,2
160,2
161,2
162,2
163,-2
164,7
165,2
166,5
167,2
168,2
169,-5
170,2
171,-13
172,-2
173,-13
174,2
175,3
176,-2
177,2
178,-8
179,-5
180,9
181,-13
182,3
183,3
184,9
185,2
186,2
187,-12
188,-7
189,2
190,2
191,-4
192,2
193,2
194,5
195,5
196,-12
197,-7
198,2
199,2
200,-2
201,-4
202,2
203,-13
204,2
205,2
206,-3
207,-5
208,1
209,8
210,5
211,-13
212,-7
213,-4
214,8
215,3
216,2
217,-2
218,-5
219,-15
220,9
221,-14
222,-12
223,21
224,-15
225,16
226,-2
227,2
228,2
229,-4
230,8
231,1
232,-2
233,11
234,-4
235,2
236,-17
237,2
238,-5
239,-2
240,-2
241,5
242,-7
243,20
244,2
245,-4
246,3
247,-2
248,10
249,-3
250,5
251,-27
252,-5
253,2
254,6
255,-2
256,-2
257,3
258,-3
259,2
260,-7
261,8
262,3
263,7
264,2
265,9
266,-13
267,-13
268,-7
269,2
270,-2
271,7
272,9
273,-4
274,3
275,-2
276,2
277,-9
278,4
279,2
280,10
281,-16
282,7
283,-14
284,2
285,2
286,2
287,5
288,-15
289,5
290,-12
291,2
292,13
293,-22
294,5
295,2
296,-3
297,-5
298,2
299,-13
300,-4
301,3
302,7
303,-10
304,-2
305,-5
306,4
307,9
308,-7
309,2
310,2
311,2
312,1
313,-4
314,11
315,-8
316,-9
317,2
318,-5
319,11
320,-11
321,11
322,2
323,-8
324,-9
325,9
326,7
327,-2
328,2
329,9
330,-16
331,-3
332,-8
333,-7
334,3
335,-8
336,9
337,-5
338,-5
339,7
340,-12
341,-2
342,2
343,16
344,3
345,-22
346,8
347,-8
348,-9
349,10
350,-7
351,18
352,-2
353,2
354,-2
355,-2
356,-4
357,1
358,5
359,7
360,-7
361,14
362,-6
363,-10
364,-9
365,2
366,-7
367,5
368,-2
369,5
370,-12
371,3
372,2
373,-5
374,11
375,5
376,-7
377,1
378,2
379,-7
380,3
381,-2
382,-2
383,-2
384,7
385,-13
386,-7
387,2
388,2
389,10
390,7
391,-7
392,10
393,1
394,2
395,-13
396,-7
397,2
398,2
399,17
400,-13
401,-7
402,-5
403,-8
404,12
405,-2
406,18
407,-7
408,12
409,2
410,2
411,-4
412,-4
413,2
414,7
415,-2
416,2
417,2
418,2
419,2
420,2
421,-5
422,5
423,2
424,-2
425,-4
426,2
427,-14
428,-2
429,9
430,-13
431,-2
432,2
433,-2
434,2
435,2
436,-4
437,11
438,14
439,-8
440,-12
441,2
442,-2
443,-13
444,2
445,-12
446,4
447,-8
448,3
449,2
450,-2
451,-3
452,-2
453,-11
454,12
455,-14
456,-7
457,12
458,-2
459,-7
460,-9
461,-4
462,-8
463,-3
464,-2
465,-4
466,2
467,-2
468,3
469,2
470,-4
471,-2
472,2
473,-2
474,3
475,-7
476,9
477,-2
478,2
479,-7
480,1
481,-3
482,-2
483,2
484,9
485,-17
486,12
487,-5
488,2
489,5
490,-13
491,-11
492,-8
493,-2
494,7
495,-21
496,5
497,1
498,2
499,2
500,-14
501,-7
502,8
503,2
504,1
505,-4
506,2
507,-8
508,-7
509,8
510,-20
511,9
512,-2
513,2
514,2
515,2
516,-5
517,-2
518,7
519,5
520,-12
521,-7
522,-4
523,-9
524,-4
525,2
526,-4
527,2
528,1
529,3
530,-14
531,-4
532,-2
533,1
534,11
535,-10
536,2
537,2
538,2
539,-7
540,-14
541,-7
542,-7
543,-7
544,5
545,-8
546,2
547,2
548,2
549,-4
550,8
551,-2
552,2
553,-16
554,16
555,-9
556,2
557,1
558,-2
559,2
560,2
561,-2
562,2
563,-7
564,23
565,-11
566,8
567,2
568,-7
569,10
570,2
571,-14
572,2
573,-11
574,26
575,-2
576,2
577,-2
578,-7
579,9
580,-2
581,-7
582,7
583,-9
584,16
585,2
586,-2
587,-13
588,-17
589,12
590,-3
591,2
592,2
593,-2
594,3
595,3
596,-4
597,-4
598,8
599,2
600,-3
601,2
602,2
603,-4
604,3
605,-2
606,-2
607,-3
608,-7
609,10
610,2
611,3
612,-2
613,-2
614,19
615,2
616,2
617,-2
618,1
619,-7
620,-20
621,-5
622,2
623,2
624,5
625,2
626,-2
627,2
628,2
629,-7
630,8
631,-4
632,2
633,3
634,2
635,-14
636,-7
637,-2
638,2
639,2
640,15
641,-7
642,8
643,5
644,6
645,-17
646,2
647,-2
648,9
649,2
650,-2
651,-9
652,-5
653,7
654,1
655,-4
656,-4
657,2
658,3
659,-15
660,-5
661,2
662,10
663,-3
664,7
665,2
666,-3
667,-13
668,-9
669,2
670,-4
671,2
672,1
673,9
674,2
675,-7
676,9
677,-7
678,6
679,2
680,-2
681,10
682,2
683,-10
684,-4
685,2
686,-2
687,-2
688,-2
689,2
690,-2
691,8
692,-5
693,3
694,6
695,2
696,2
697,-2
698,2
699,-10
700,-9
701,11
702,-3
703,9
704,3
705,-13
706,2
707,-3
708,-2
709,-2
710,10
711,4
712,2
713,2
714,2
715,-12
716,-9
717,1
718,-2
719,2
720,3
721,3
722,-4
723,2
724,2
725,-4
726,7
727,1
728,-6
729,9
730,-4
731,-7
732,-7
733,-3
734,-2
735,-2
736,-3
737,2
738,-7
739,8
740,-3
741,-5
742,17
743,2
744,-2
745,-3
746,2
747,-17
748,-5
749,2
750,6
751,-2
752,1
753,-4
754,-3
755,-3
756,2
757,-8
758,7
759,3
760,6
761,-2
762,2
763,-13
764,-7
765,-2
766,2
767,-3
768,11
769,-3
770,3
771,-4
772,2
773,-8
774,5
775,-2
776,3
777,-4
778,10
779,-19
780,2
781,-2
782,-7
783,-6
784,2
785,-2
786,-4
787,2
788,2
789,-2
790,6
791,-12
792,-2
793,-2
794,1
795,-17
796,-8
797,-2
798,2
799,-2
800,-7
801,7
802,-13
803,2
804,-2
805,-15
806,19
807,7
808,2
809,2
810,-2
811,-11
812,-2
813,-7
814,2
815,-17
816,10
817,7
818,1
819,6
820,-15
821,5
822,-2
823,2
824,2
825,-14
826,12
827,-10
828,-8
829,2
830,-7
831,3
832,7
833,-7
834,2
835,-16
836,9
837,-7
838,6
839,-3
840,-9
841,6
842,-3
843,-18
844,-10
845,-11
846,17
847,-2
848,3
849,2
850,-7
851,8
852,-2
853,-3
854,8
855,13
856,-9
857,12
858,-12
859,-8
860,-5
861,-9
862,-7
863,2
864,2
865,14
866,2
867,9
868,-11
869,-4
870,7
871,-5
872,-2
873,-5
874,-4
875,-7
876,-9
877,2
878,2
879,2
880,-3
881,-2
882,2
883,-5
884,-2
885,1
886,6
887,8
888,2
889,-2
890,2
891,-12
892,2
893,-12
894,2
895,2
896,-4
897,2
898,2
899,2
900,2
901,-2
902,4
903,-3
904,4
905,2
906,7
907,-13
908,-4
909,-7
910,2
911,2
912,2
913,-2
914,1
915,6
916,7
917,-7
918,8
919,-2
920,1
921,-3
922,2
923,-14
924,-2
925,-3
926,7
927,-2
928,2
929,-2
930,2
931,2
932,2
933,-4
934,10
935,8
936,1
937,-2
938,2
939,-14
940,-6
941,2
942,-4
943,3
944,-4
945,12
946,2
947,2
948,2
949,-7
950,7
951,2
952,2
953,3
954,2
955,-13
956,-10
957,2
958,2
959,2
960,2
961,-2
962,2
963,3
964,1
965,3
966,7
967,5
968,-16
969,-11
970,-4
971,-11
972,-13
973,2
974,-4
975,7
976,-14
977,2
978,2
979,-3
980,2
981,2
982,8
983,2
984,8
985,-3
986,2
987,-14
988,-7
989,-6
990,-2
991,-5
992,2
993,-4
994,4
995,2
996,7
997,-16
998,3
999,3
1000,2
1001,-2
1002,3
1003,-9
1004,-7
1005,2
1006,2
1007,-7
1008,-5
1009,2
1010,-4
1011,-2
1012,2
1013,5
1014,2
1015,2
1016,2
1017,2
1018,-4
1019,-14
1020,2
1021,2
1022,9
1023,-7
1024,7
1025,-2
1026,2
1027,3
1028,-2
1029,-5
1030,2
1031,7
1032,3
1033,-2
1034,8
1035,-7
1036,-5
1037,2
1038,-15
1039,11
1040,-5
1041,18
1042,10
1043,8
1044,-21
1045,-4
1046,5
1047,2
1048,-17
1049,13
1050,-9
1051,-2
1052,-4
1053,-2
1054,10
1055,2
1056,-4
1057,-4
1058,-9
1059,10
1060,3
1061,2
1062,11
1063,-7
1064,9
1065,2
1066,-3
1067,-12
1068,-4
1069,5
1070,-7
1071,2
1072,2
1073,-3
1074,2
1075,2
1076,-7
1077,-6
1078,2
1079,9
1080,7
1081,-3
1082,14
1083,-38
1084,6
1085,-3
1086,2
1087,-5
1088,-7
1089,2
1090,4
1091,-3
1092,2
1093,-9
1094,16
1095,-3
1096,-2
1097,2
1098,8
1099,-9
1100,3
1101,2
1102,2
1103,4
1104,2
1105,-2
1106,-5
1107,-3
1108,2
1109,2
1110,9
1111,-5
1112,2
1113,-4
1114,2
1115,-8
1116,-3
1117,-7
1118,2
1119,1
1120,7
1121,2
1122,2
1123,2
1124,-2
1125,-4
1126,9
1127,-2
1128,-3
1129,6
1130,-3
1131,-8
1132,-4
1133,2
1134,-2
1135,-6
1136,-2
1137,-2
1138,-4
1139,7
1140,-7
1141,4
1142,2
1143,-3
1144,2
1145,2
1146,-2
1147,-10
1148,-4
1149,9
1150,-4
1151,6
1152,2
1153,2
1154,-4
1155,2
1156,-5
1157,-4
1158,20
1159,1
1160,1
1161,2
1162,2
1163,-12
1164,-7
1165,2
1166,-2
1167,-2
1168,8
1169,2
1170,2
1171,2
1172,-2
1173,-7
1174,4
1175,-2
1176,2
1177,-3
1178,7
1179,-12
1180,3
1181,-8
1182,2
1183,-3
1184,2
1185,2
1186,-4
1187,10
1188,3
1189,-2
1190,7
1191,2
1192,2
1193,2
1194,3
1195,-12
1196,-7
1197,2
1198,9
1199,-7
1200,3
1201,1
1202,2
1203,2
1204,-7
1205,-6
1206,2
1207,8
1208,-2
1209,3
1210,-3
1211,-12
1212,-5
1213,-2
1214,-2
1215,2
1216,-7
1217,10
1218,2
1219,3
1220,3
1221,-7
1222,1
1223,1
1224,3
1225,10
1226,2
1227,2
1228,-3
1229,-16
1230,-2
1231,-2
1232,3
1233,-3
1234,-5
1235,13
1236,18
1237,-11
1238,8
1239,-8
1240,2
1241,2
1242,-15
1243,-2
1244,-11
1245,8
1246,3
1247,-7
1248,1
1249,-2
1250,-5
1251,-3
1252,-2
1253,-7
1254,7
1255,2
1256,-3
1257,2
1258,-13
1259,-3
1260,-2
1261,2
1262,-5
1263,8
1264,8
1265,7
1266,-11
1267,2
1268,-3
1269,-9
1270,10
1271,2
1272,-3
1273,5
1274,-11
1275,9
1276,2
1277,-12
1278,2
1279,2
1280,2
1281,2
1282,9
1283,-9
1284,16
1285,-11
1286,8
1287,-5
1288,2
1289,5
1290,2
1291,-7
1292,15
1293,-15
1294,7
1295,-10
1296,2
1297,2
1298,-9
1299,13
1300,2
1301,-2
1302,17
1303,-3
1304,15
1305,-10
1306,-8
1307,2
1308,-2
1309,2
1310,1
1311,8
1312,3
1313,3
1314,10
1315,2
1316,2
1317,-7
1318,2
1319,13
1320,2
1321,2
1322,-3
1323,-2
