cycle,offset,drift_filtered,drift_unfiltered
0,3,-0.035506,-29.641926
1,7,0.048894,39.0625
2,5,-0.039065,-19.531059
3,2,-0.019992,-29.298019
4,10,0.037226,78.122711
5,3,-0.019562,-67.916327
6,7,-0.000238,39.318609
7,5,0.018622,-19.530869
8,0,-0.057476,-48.461822
9,5,-0.009426,49.203397
10,6,-0.047475,9.765911
11,4,0.143699,-19.531441
12,3,-0.108578,-9.765339
13,6,0.027178,29.242616
14,3,-0.030024,-29.27629
15,4,0.008007,9.646643
16,6,-0.019675,19.826911
17,4,0.028925,-19.530869
18,2,-0.047373,-19.532394
19,8,-0.009226,58.59375
20,4,0.038456,-39.0625
21,4,0.000308,0.0
22,4,-0.018764,0.0
23,5,0.019299,9.765434
24,4,-0.00937,-9.766197
25,4,0.009702,0.0
26,7,-0.028448,29.294586
27,8,0.085991,9.765339
28,-3,-0.10393,-107.434465
29,6,0.03968,87.88805
30,6,0.020606,0.0
31,2,-0.008059,-39.118274
32,5,-0.008059,29.296589
33,6,0.039624,9.765244
34,2,-0.055742,-39.062881
35,7,0.020552,48.827648
36,8,0.049058,9.76572
37,2,-0.017753,-58.594894
38,3,-0.036835,9.607902
39,-1,-0.046828,-39.680965
40,9,0.058074,97.741201
41,5,0.010303,-39.062881
42,6,-0.018363,9.707513
43,6,0.057934,0.0
44,0,-0.046969,-58.592606
45,5,-0.00846,48.830509
46,8,0.05985,29.294872
47,0,-0.035521,-78.128052
48,-2,-0.072607,-19.531059
49,11,0.061508,126.956844
50,4,0.090257,-68.216148
51,6,-0.062171,19.57311
52,6,0.023719,0.0
53,5,0.004602,-9.809596
54,2,-0.061165,-28.46813
55,5,0.063971,30.016209
56,8,0.035509,29.449298
57,0,-0.068256,-76.970443
58,6,-0.000801,59.30436
59,3,0.065892,-29.370013
60,4,-0.010392,9.771255
61,4,0.01822,0.0
62,4,-0.010391,0.0
63,7,0.046831,29.296303
64,2,-0.019925,-48.827648
65,5,0.008686,29.298019
66,8,0.056339,29.294586
67,2,-0.029446,-58.500629
68,4,-0.038951,19.563346
69,5,0.056418,9.766006
70,4,0.008796,-9.76572
71,4,0.008796,0.0
72,7,0.046977,29.369151
73,2,-0.029428,-48.829079
74,6,-0.019891,39.059067
75,7,0.085026,9.765816
76,2,-0.029415,-48.829079
77,2,-0.019878,0.0
78,4,-0.000805,19.530869
79,4,0.027805,0.0
80,5,0.008731,9.76553
81,4,0.018546,-9.396024
82,5,0.009318,10.165494
83,6,0.018854,9.765244
84,4,-0.028859,-19.531631
85,6,0.047437,19.532204
86,5,0.009292,-9.765244
87,-5,-0.086078,-97.658157
88,11,0.066515,156.254578
89,4,0.176549,-0.000321
90,9,-0.01421,48.825741
91,1,0.100468,-77.639752
92,3,0.015153,19.655054
93,11,0.09144,78.117371
94,-1,0.024669,-117.198945
95,3,0.081893,39.064789
96,4,0.024678,9.76553
97,4,0.053289,0.0
98,6,0.110466,19.530869
99,6,0.072275,0.0
100,6,0.062802,0.0
101,2,0.05346,-39.061356
102,4,0.053461,19.532013
103,7,0.091579,29.267151
104,5,0.043995,-19.430115
105,2,0.024741,-29.481132
106,6,0.091485,39.051059
107,4,0.043855,-19.536974
108,2,0.091684,-19.530869
109,5,-0.003103,29.296589
110,6,0.159736,9.765339
111,2,0.026218,-39.065552
112,5,0.083438,29.295158
113,6,0.073902,9.766006
114,4,0.035802,-19.530869
115,5,0.064334,9.750675
116,4,0.073968,-9.780621
117,5,0.026275,9.633169
118,3,0.092954,-19.803353
119,5,0.073875,19.524005
120,6,0.083372,9.725545
121,3,0.045226,-29.296017
122,5,0.054792,19.560667
123,7,0.092998,19.590365
124,2,0.064365,-48.831463
125,-4,-0.018178,-55.197284
126,11,0.134255,156.090657
127,5,0.067447,-58.592606
128,3,0.094864,-19.531441
129,10,0.161619,68.357372
130,1,0.039222,-87.889767
131,0,-0.019989,-9.594811
132,14,0.18259,139.198218
133,3,0.039473,-107.422924
134,0,0.029934,-29.298306
135,5,0.106143,48.827171
136,4,0.048781,-9.76572
137,5,0.11554,9.76553
138,6,0.115555,9.765911
139,5,0.086945,-9.737667
140,3,0.086845,-19.587679
141,2,0.019947,-9.765434
142,4,0.077168,19.531441
143,9,0.10458,47.545239
144,2,0.161062,-69.488564
145,5,-0.048405,29.61559
146,2,0.085124,-29.298019
147,6,0.065025,38.009807
148,5,0.112443,-10.043589
149,3,0.055229,-19.530296
150,5,0.083733,19.531631
151,7,0.073866,19.530678
152,1,0.055036,-58.344192
153,5,0.074276,39.23338
154,8,0.047539,29.295731
155,3,0.113065,-48.796198
156,-4,-0.036414,-68.181597
157,10,0.106266,137.170179
158,4,0.14958,-58.452186
159,6,0.168228,19.095449
160,3,0.015164,-29.78584
161,7,0.120407,39.409255
162,7,0.120407,0.0
163,2,0.034564,-48.843389
164,2,0.08221,0.0
165,6,0.110922,39.174591
166,-11,-0.100204,-167.400274
167,20,0.280419,302.758028
